epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.3082,0.81861,0.17792,0.80169,2.30248,0.00332936,0.00332936,0.00332936
2,144.824,0.99711,0.58865,0.94474,1.1502,0.0066495,0.0066495,0.0066495
3,206.823,1.19209,0.13988,0.71041,2.2996,0.00995644,0.00995644,0.00995644
4,269.24,1.25424,0.63152,0.95936,1.03774,0.0099406,0.0099406,0.0099406
5,333.059,1.20586,0.67133,0.96592,0.93203,0.0099208,0.0099208,0.0099208
6,395.217,1.18196,0.68049,0.96602,0.91259,0.009901,0.009901,0.009901
7,457.884,1.1669,0.69792,0.97055,0.85026,0.0098812,0.0098812,0.0098812
8,520.68,1.16124,0.69746,0.97159,0.85274,0.0098614,0.0098614,0.0098614
9,582.534,1.15554,0.71473,0.97154,0.80294,0.0098416,0.0098416,0.0098416
10,645.585,1.15016,0.71791,0.97133,0.79397,0.0098218,0.0098218,0.0098218
11,708.902,1.1459,0.73029,0.97383,0.76216,0.009802,0.009802,0.009802
12,770.826,1.13471,0.72935,0.97398,0.75615,0.0097822,0.0097822,0.0097822
13,837.729,1.13777,0.73357,0.97341,0.74218,0.0097624,0.0097624,0.0097624
14,899.914,1.13625,0.74023,0.97528,0.73635,0.0097426,0.0097426,0.0097426
15,962.894,1.13683,0.73976,0.97523,0.72304,0.0097228,0.0097228,0.0097228
16,1029.39,1.13398,0.74143,0.97632,0.71811,0.009703,0.009703,0.009703
17,1091.88,1.12883,0.74226,0.97544,0.71916,0.0096832,0.0096832,0.0096832
18,1154.27,1.13655,0.74085,0.97684,0.71948,0.0096634,0.0096634,0.0096634
19,1216.3,1.13173,0.74216,0.97653,0.71242,0.0096436,0.0096436,0.0096436
20,1279.47,1.12974,0.74346,0.97611,0.71318,0.0096238,0.0096238,0.0096238
21,1340.85,1.13122,0.7434,0.9758,0.71101,0.009604,0.009604,0.009604
22,1408.71,1.1239,0.7434,0.97611,0.71294,0.0095842,0.0095842,0.0095842
23,1471.1,1.12848,0.74413,0.97601,0.71209,0.0095644,0.0095644,0.0095644
24,1533.82,1.12786,0.74398,0.97638,0.71055,0.0095446,0.0095446,0.0095446
25,1596.76,1.12614,0.74325,0.97601,0.70861,0.0095248,0.0095248,0.0095248
26,1658.8,1.1203,0.74361,0.97617,0.71119,0.009505,0.009505,0.009505
27,1721.5,1.12594,0.74356,0.97632,0.70872,0.0094852,0.0094852,0.0094852
28,1783.95,1.12377,0.74351,0.97653,0.71058,0.0094654,0.0094654,0.0094654
29,1858.78,1.12229,0.74346,0.97622,0.70721,0.0094456,0.0094456,0.0094456
30,1931.1,1.12418,0.74387,0.97643,0.70958,0.0094258,0.0094258,0.0094258
31,1994.42,1.12174,0.74429,0.97638,0.71224,0.009406,0.009406,0.009406
32,2057.07,1.12403,0.74491,0.97627,0.70941,0.0093862,0.0093862,0.0093862
33,2118.69,1.11993,0.74523,0.97611,0.70544,0.0093664,0.0093664,0.0093664
34,2180.5,1.11914,0.74523,0.97632,0.71056,0.0093466,0.0093466,0.0093466
35,2241.92,1.116,0.74559,0.97648,0.70654,0.0093268,0.0093268,0.0093268
36,2303.04,1.11753,0.74585,0.97617,0.70737,0.009307,0.009307,0.009307
37,2364.92,1.11703,0.74486,0.97643,0.70485,0.0092872,0.0092872,0.0092872
38,2426.06,1.11391,0.74549,0.97658,0.70181,0.0092674,0.0092674,0.0092674
39,2487.25,1.1179,0.74663,0.97664,0.70493,0.0092476,0.0092476,0.0092476
40,2549.04,1.112,0.74642,0.97669,0.70244,0.0092278,0.0092278,0.0092278
41,2610.33,1.1129,0.7472,0.97674,0.70846,0.009208,0.009208,0.009208
42,2671.75,1.11577,0.74694,0.97684,0.70655,0.0091882,0.0091882,0.0091882
43,2733.27,1.11086,0.74778,0.97669,0.69848,0.0091684,0.0091684,0.0091684
44,2794.75,1.11086,0.74798,0.97669,0.70178,0.0091486,0.0091486,0.0091486
45,2856.12,1.1114,0.74835,0.97684,0.70033,0.0091288,0.0091288,0.0091288
46,2917.68,1.11091,0.74809,0.97653,0.70132,0.009109,0.009109,0.009109
47,2978.66,1.11208,0.74871,0.97653,0.70765,0.0090892,0.0090892,0.0090892
48,3039.72,1.106,0.74892,0.97664,0.70637,0.0090694,0.0090694,0.0090694
49,3100.64,1.10408,0.75001,0.97679,0.69998,0.0090496,0.0090496,0.0090496
50,3161.66,1.10711,0.74991,0.97658,0.70176,0.0090298,0.0090298,0.0090298
51,3223,1.10576,0.75048,0.97674,0.70027,0.00901,0.00901,0.00901
52,3284.04,1.10419,0.75022,0.97643,0.70048,0.0089902,0.0089902,0.0089902
53,3344.98,1.10671,0.7509,0.97638,0.6989,0.0089704,0.0089704,0.0089704
54,3405.92,1.10175,0.75111,0.97643,0.70041,0.0089506,0.0089506,0.0089506
55,3466.9,1.10469,0.751,0.97674,0.70431,0.0089308,0.0089308,0.0089308
56,3528.12,1.10237,0.75163,0.97669,0.70227,0.008911,0.008911,0.008911
57,3589.01,1.10266,0.75168,0.97669,0.70392,0.0088912,0.0088912,0.0088912
58,3650.15,1.10109,0.75121,0.97638,0.70043,0.0088714,0.0088714,0.0088714
59,3711.42,1.09986,0.75111,0.97679,0.70016,0.0088516,0.0088516,0.0088516
60,3772.43,1.10302,0.75079,0.97705,0.69533,0.0088318,0.0088318,0.0088318
61,3833.55,1.10106,0.75147,0.97736,0.7034,0.008812,0.008812,0.008812
62,3894.55,1.10035,0.75189,0.97731,0.69767,0.0087922,0.0087922,0.0087922
63,3955.45,1.09857,0.7522,0.97716,0.69717,0.0087724,0.0087724,0.0087724
64,4016.32,1.097,0.7522,0.977,0.69418,0.0087526,0.0087526,0.0087526
65,4077.2,1.09646,0.75308,0.97721,0.69476,0.0087328,0.0087328,0.0087328
66,4138.5,1.0924,0.75381,0.97736,0.68904,0.008713,0.008713,0.008713
67,4199.41,1.09459,0.75438,0.97768,0.69611,0.0086932,0.0086932,0.0086932
68,4260.32,1.0925,0.75412,0.97752,0.68961,0.0086734,0.0086734,0.0086734
69,4321.19,1.09156,0.75376,0.97747,0.69781,0.0086536,0.0086536,0.0086536
70,4382.17,1.09227,0.75418,0.97773,0.68877,0.0086338,0.0086338,0.0086338
71,4443.39,1.08803,0.75438,0.97773,0.69018,0.008614,0.008614,0.008614
72,4504.3,1.09208,0.7549,0.97788,0.69184,0.0085942,0.0085942,0.0085942
73,4565.92,1.09645,0.75506,0.97794,0.69062,0.0085744,0.0085744,0.0085744
74,4632.87,1.08723,0.75532,0.97768,0.68632,0.0085546,0.0085546,0.0085546
75,4694.42,1.08734,0.75714,0.97773,0.68587,0.0085348,0.0085348,0.0085348
76,4757.44,1.08447,0.75688,0.97773,0.68709,0.008515,0.008515,0.008515
77,4820.57,1.0855,0.75631,0.97799,0.68304,0.0084952,0.0084952,0.0084952
78,4885.48,1.08636,0.75579,0.97768,0.68283,0.0084754,0.0084754,0.0084754
79,4948.07,1.08705,0.75595,0.97778,0.68428,0.0084556,0.0084556,0.0084556
80,5009.99,1.08598,0.75615,0.97783,0.68428,0.0084358,0.0084358,0.0084358
81,5072.27,1.08377,0.75667,0.97804,0.68079,0.008416,0.008416,0.008416
82,5134.36,1.08155,0.75761,0.97835,0.68705,0.0083962,0.0083962,0.0083962
83,5199.28,1.07969,0.75777,0.97846,0.68273,0.0083764,0.0083764,0.0083764
84,5264.8,1.07923,0.7586,0.97835,0.68221,0.0083566,0.0083566,0.0083566
85,5330.31,1.08514,0.75855,0.9784,0.6759,0.0083368,0.0083368,0.0083368
86,5396.08,1.08123,0.75959,0.97825,0.68698,0.008317,0.008317,0.008317
87,5461.61,1.07931,0.76042,0.97804,0.67723,0.0082972,0.0082972,0.0082972
88,5526.88,1.07774,0.76047,0.97773,0.68117,0.0082774,0.0082774,0.0082774
89,5588.86,1.07865,0.76073,0.97778,0.67619,0.0082576,0.0082576,0.0082576
90,5651.82,1.07611,0.76084,0.97762,0.67359,0.0082378,0.0082378,0.0082378
91,5715.97,1.07841,0.76,0.97757,0.67251,0.008218,0.008218,0.008218
92,5779.75,1.0748,0.75985,0.97747,0.6732,0.0081982,0.0081982,0.0081982
93,5843.69,1.07141,0.75985,0.97721,0.67169,0.0081784,0.0081784,0.0081784
94,5907.57,1.07262,0.76011,0.97747,0.67071,0.0081586,0.0081586,0.0081586
95,5971.77,1.07011,0.75995,0.97747,0.67544,0.0081388,0.0081388,0.0081388
96,6034.99,1.07231,0.76136,0.97778,0.67071,0.008119,0.008119,0.008119
97,6097,1.07178,0.76167,0.97778,0.66735,0.0080992,0.0080992,0.0080992
98,6160.86,1.07502,0.76146,0.97794,0.67161,0.0080794,0.0080794,0.0080794
99,6223.83,1.07446,0.7611,0.97773,0.67362,0.0080596,0.0080596,0.0080596
100,6287.06,1.06848,0.76146,0.97742,0.66881,0.0080398,0.0080398,0.0080398
101,6348.65,1.06683,0.76255,0.97768,0.66801,0.00802,0.00802,0.00802
102,6410.92,1.06521,0.76214,0.9784,0.66911,0.0080002,0.0080002,0.0080002
103,6473.12,1.06607,0.76183,0.9784,0.66796,0.0079804,0.0079804,0.0079804
104,6537.04,1.06974,0.76287,0.97788,0.67182,0.0079606,0.0079606,0.0079606
